Textbox25,Textbox26
NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 7/25/2025 8:30:15 PM,"NatureServe Global (G) and State (S) Conservation Status Rank List - NatureServe. 2025. NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. Available https://explorer.natureserve.org/. (Accessed: July 9, 2025). This information is provided by NatureServe (www.natureserve.org) and its network of natural heritage member programs, a leading source of information about rare and endangered species, and threatened ecosystems."

Textbox46,Category1,CategoryGroup,Textbox51,PreferredCommonNames1,OccwTag,Abundance,NatwTags,NPSTags,ParkTags,RefCount,ObsCount,VouCount,ExternalLinkCount,TESS,StateStatuses,Ozone,GRank,SRank1,Textbox52,Textbox1
,Birds,Anseriformes/Anatidae,Aythya collaris,ring-necked duck,Present,Uncommon,Native,Breeder,,1,26,0,0,,,,G5,"CA: SNRB,SNRN",- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Aythya valisineria,Canvasback,Present,Occasional,Native,Migratory,,1,2,0,0,,,,G5,CA: S2,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Branta canadensis,Canada Goose,Present,Common,Native,Resident,,1,31,1,0,SU,,,G5,"CA: SNRB,SNRN",- Branta canadensis hutchinsi,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Bucephala albeola,Bufflehead,Present,Rare,Native,Vagrant,,1,15,0,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Bucephala clangula,Common Goldeneye,Present,Occasional,Native,Migratory,,1,4,0,0,,,,G5,CA: SNRN,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Bucephala islandica,Barrow's Goldeneye,Present,Occasional,Native,Vagrant,,1,1,0,0,,CA: SSC,,G5,CA: S1,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Chen caerulescens,snow goose,Present,Occasional,Native,Migratory,,1,6,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Cygnus columbianus,Tundra Swan,Present,Occasional,Native,Migratory,,1,0,0,0,,,,G5,CA: SNRN,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Histrionicus histrionicus,Harlequin Duck,Present,Rare,Native,Management Priority; Breeder,,1,22,0,0,RT,CA: SSC,,G4,CA: S2,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Lophodytes cucullatus,Hooded Merganser,Present,Rare,Native,Vagrant,,1,3,0,0,,,,G5,"CA: SNRB,SNRN",- ,Report Species Count: 2086
